time,rabbit,wolf
0.0,1000.0,1000.0
1.0,1309.0,861.0
2.0,858.0,1082.0
3.0,1053.0,1065.0
4.0,1118.0,756.0
5.0,743.0,1225.0
6.0,1262.0,838.0
7.0,680.0,1039.0
8.0,1534.0,911.0
9.0,704.0,744.0
10.0,1072.0,1337.0
11.0,923.0,671.0
12.0,865.0,1394.0
13.0,1025.0,560.0
14.0,586.0,1385.0
15.0,1318.0,507.0
16.0,542.0,1311.0
17.0,1449.0,709.0
18.0,529.0,887.0
19.0,1762.0,1072.0
20.0,533.0,699.0
21.0,1419.0,1300.0
22.0,914.0,586.0
23.0,1123.0,1022.0
24.0,1006.0,954.0
25.0,991.0,1162.0
26.0,1115.0,866.0
27.0,786.0,1059.0
28.0,1314.0,970.0
29.0,689.0,862.0
30.0,1328.0,1083.0
31.0,1050.0,882.0
32.0,910.0,1028.0
33.0,774.0,918.0
34.0,1148.0,1307.0
35.0,873.0,751.0
36.0,970.0,1404.0
37.0,988.0,826.0
38.0,911.0,1066.0
39.0,1285.0,748.0
40.0,554.0,1028.0
41.0,1574.0,1177.0
42.0,843.0,610.0
43.0,653.0,1293.0
44.0,1410.0,945.0
45.0,485.0,875.0
46.0,1948.0,723.0
47.0,451.0,812.0
48.0,1786.0,1181.0
49.0,346.0,751.0
50.0,2359.0,493.0
51.0,269.0,1161.0
52.0,1022.0,231.0
53.0,556.0,2318.0
54.0,520.0,287.0
55.0,2572.0,1401.0
56.0,260.0,593.0
57.0,2098.0,301.0
58.0,367.0,2478.0
59.0,585.0,321.0
60.0,1302.0,2293.0
61.0,418.0,491.0
62.0,1932.0,1402.0
63.0,518.0,590.0
64.0,1748.0,1616.0
65.0,512.0,573.0
66.0,1793.0,1267.0
67.0,706.0,591.0
68.0,1164.0,1810.0
69.0,698.0,316.0
70.0,1483.0,2518.0
71.0,175.0,439.0
72.0,1373.0,155.0
73.0,516.0,3113.0
74.0,214.0,383.0
75.0,1091.0,169.0
76.0,797.0,2798.0
77.0,487.0,453.0
78.0,1870.0,1632.0
79.0,559.0,518.0
80.0,2011.0,1579.0
81.0,320.0,695.0
82.0,2404.0,484.0
83.0,269.0,1040.0
84.0,1407.0,246.0
85.0,469.0,2573.0
86.0,326.0,329.0
87.0,2614.0,591.0
88.0,199.0,1305.0
89.0,728.0,186.0
90.0,2071.0,2288.0
91.0,490.0,478.0
92.0,2311.0,1293.0
93.0,400.0,571.0
94.0,2182.0,1542.0
95.0,426.0,704.0
96.0,1912.0,1138.0
97.0,484.0,742.0
98.0,1879.0,1071.0
99.0,668.0,641.0
100.0,1094.0,1573.0
